iter	Passed	Remaining
537	47043	22909
538	47090	22802
539	47136	22695
540	47182	22588
541	47228	22481
542	47275	22375
543	47335	22275
544	47380	22169
545	47426	22062
546	47474	21958
547	47520	21852
548	47566	21747
549	47611	21641
550	47658	21537
551	47704	21432
552	47750	21327
553	47795	21223
554	47841	21119
555	47889	21016
556	47935	20912
557	47981	20809
558	48030	20707
559	48078	20604
560	48126	20502
561	48173	20400
562	48220	20298
563	48265	20196
564	48312	20094
565	48358	19992
566	48409	19893
567	48455	19791
568	48501	19690
569	48547	19589
570	48592	19488
571	48638	19387
572	48685	19287
573	48731	19186
574	48777	19086
575	48823	18986
576	48869	18887
577	48916	18787
578	48961	18688
579	49008	18589
580	49054	18490
581	49100	18391
582	49147	18293
583	49192	18194
584	49238	18096
585	49284	17998
586	49330	17900
587	49376	17802
588	49422	17704
589	49468	17607
590	49515	17510
591	49561	17413
592	49606	17316
593	49652	17219
594	49698	17123
595	49744	17026
596	49791	16930
597	49838	16834
598	49885	16739
599	49931	16643
600	49977	16548
601	50024	16453
602	50072	16358
603	50118	16263
604	50165	16169
605	50211	16074
606	50258	15980
607	50305	15886
608	50352	15791
609	50403	15699
610	50449	15605
611	50495	15511
612	50541	15418
613	50588	15324
614	50634	15231
615	50681	15138
616	50727	15045
617	50776	14953
618	50821	14860
619	50869	14768
620	50915	14676
621	50961	14583
622	51007	14491
623	51054	14399
624	51101	14308
625	51146	14216
626	51193	14125
627	51239	14033
628	51285	13942
629	51330	13851
630	51376	13760
631	51422	13669
632	51468	13578
633	51514	13487
634	51560	13397
635	51606	13307
636	51651	13217
637	51698	13127
638	51744	13037
639	51789	12947
640	51835	12857
641	51881	12768
642	51927	12678
643	51972	12589
644	52018	12500
645	52064	12411
646	52110	12322
647	52156	12234
648	52202	12145
649	52248	12057
650	52294	11969
651	52350	11883
652	52395	11794
653	52441	11707
654	52486	11619
655	52531	11531
656	52576	11443
657	52622	11356
658	52668	11269
659	52713	11181
660	52758	11094
661	52803	11007
662	52850	10920
663	52896	10834
664	52943	10747
665	52996	10662
666	53046	10577
667	53098	10492
668	53144	10406
669	53190	10320
670	53236	10234
671	53286	10149
672	53336	10065
673	53385	9980
674	53433	9895
675	53480	9810
676	53528	9725
677	53575	9640
678	53623	9555
679	53670	9471
680	53716	9386
681	53763	9302
682	53809	9217
683	53860	9134
684	53908	9050
685	53955	8966
686	54003	8882
687	54062	8800
688	54109	8717
689	54155	8633
690	54202	8549
691	54249	8466
692	54298	8383
693	54345	8300
694	54393	8217
695	54439	8134
696	54486	8051
697	54533	7969
698	54591	7888
699	54637	7805
700	54684	7722
701	54731	7640
702	54777	7558
703	54823	7475
704	54870	7393
705	54917	7311
706	54964	7230
707	55011	7148
708	55057	7066
709	55111	6985
710	55158	6904
711	55204	6822
712	55255	6742
713	55310	6662
714	55357	6580
715	55404	6499
716	55452	6419
717	55500	6338
718	55547	6257
719	55594	6177
720	55644	6096
721	55697	6017
722	55748	5937
723	55797	5857
724	55846	5777
725	55894	5697
726	55955	5618
727	56003	5538
728	56049	5458
729	56097	5379
730	56143	5299
731	56191	5219
732	56237	5140
733	56284	5061
734	56330	4981
735	56377	4902
736	56424	4823
737	56471	4744
738	56518	4665
739	56564	4586
740	56613	4507
741	56667	4429
742	56714	4350
743	56760	4272
744	56807	4193
745	56858	4115
746	56905	4037
747	56954	3959
748	57002	3881
749	57049	3803
750	57096	3725
751	57143	3647
752	57190	3569
753	57237	3491
754	57283	3414
755	57331	3336
756	57378	3259
757	57424	3181
758	57471	3104
759	57519	3027
760	57565	2950
761	57614	2873
762	57661	2796
763	57709	2719
764	57755	2642
765	57801	2565
766	57848	2488
767	57896	2412
768	57943	2335
769	57998	2259
770	58048	2183
771	58096	2107
772	58144	2030
773	58192	1954
774	58238	1878
775	58285	1802
776	58333	1726
777	58380	1650
778	58429	1575
779	58478	1499
780	58524	1423
781	58571	1348
782	58617	1272
783	58666	1197
784	58713	1121
785	58760	1046
786	58814	971
787	58861	896
788	58908	821
789	58955	746
790	59003	671
791	59050	596
792	59097	521
793	59144	446
794	59190	372
795	59236	297
796	59283	223
797	59334	148
798	59382	74
799	59429	0
