iter	Logloss
0	0.677338477
1	0.6641619299
2	0.6505267449
3	0.6347285232
4	0.6183200044
5	0.6010566888
6	0.5859111966
7	0.5747396252
8	0.5583337379
9	0.5457595908
10	0.5343729118
11	0.5262273264
12	0.516451221
13	0.5039993622
14	0.4964867864
15	0.489221554
16	0.4809303321
17	0.4677725157
18	0.4583409945
19	0.4518476942
20	0.4430953515
21	0.4333312119
22	0.4261888921
23	0.4183206744
24	0.4109644981
25	0.4043662606
26	0.3974720375
27	0.3907912932
28	0.3835046672
29	0.3779851132
30	0.3712364116
31	0.3627438636
32	0.3575302801
33	0.3516960343
34	0.3462009224
35	0.3390014712
36	0.3328871521
37	0.3261860835
38	0.3206449249
39	0.3165749768
40	0.3126701555
41	0.3076376106
42	0.3028201658
43	0.2984299545
44	0.2939477623
45	0.2891813284
46	0.2846779327
47	0.2812025625
48	0.2772785453
49	0.2740468169
50	0.2698116766
51	0.2667790821
52	0.2636582148
53	0.2601159408
54	0.2561216409
55	0.253022159
56	0.2504970773
57	0.2471240748
58	0.2438555148
59	0.2410147329
60	0.2383660697
61	0.2354769329
62	0.2336419535
63	0.231034079
64	0.2278199208
65	0.2251299113
66	0.2225453588
67	0.2191528822
68	0.2155352049
69	0.2126132276
70	0.2096908826
71	0.2072804372
72	0.2053543775
73	0.202679427
74	0.1997684538
75	0.1959502571
76	0.1924628183
77	0.1907522337
78	0.1877789152
79	0.1853567911
80	0.1832692233
81	0.1812513525
82	0.1787907662
83	0.1773960994
84	0.1758728314
85	0.1743452084
86	0.1722376133
87	0.1701719474
88	0.1684542453
89	0.1670162707
90	0.1654626232
91	0.1635554073
92	0.1616203547
93	0.1595904452
94	0.1587204006
95	0.156961979
96	0.1550964156
97	0.1529826622
98	0.1514882248
99	0.1491763642
100	0.148176305
101	0.1465550238
102	0.1442337205
103	0.1430141886
104	0.1420881954
105	0.1406720028
106	0.1389358911
107	0.1369503707
108	0.1350498708
109	0.1331972306
110	0.131700894
111	0.1302320443
112	0.1290194657
113	0.1282553518
114	0.126668551
115	0.1252287927
116	0.1244276256
117	0.1228919865
118	0.1219094227
119	0.1211524769
120	0.1198293495
121	0.1186389095
122	0.1174745549
123	0.116091925
124	0.1148758127
125	0.1137911267
126	0.1129203053
127	0.1116202134
128	0.1106067472
129	0.1098381453
130	0.1089048994
131	0.1076981577
132	0.1065806089
133	0.1056254608
134	0.1048288189
135	0.1043503962
136	0.1033035544
137	0.1021076727
138	0.1012312093
139	0.1004647889
140	0.09984916659
141	0.09901286944
142	0.09763693787
143	0.09660998181
144	0.09595963043
145	0.09506303366
146	0.09453844753
147	0.09401910655
148	0.09298043712
149	0.09213369642
150	0.0917406964
151	0.09120900774
152	0.09032892572
153	0.08954803845
154	0.08894105937
155	0.08830274115
156	0.08775302984
157	0.08718502012
158	0.08646624643
159	0.08604670978
160	0.08511916717
161	0.08446940974
162	0.08384891536
163	0.08319401669
164	0.08242719618
165	0.08195621002
166	0.0812720498
167	0.08081897633
168	0.08047923651
169	0.07992530578
170	0.0794612911
171	0.07872090647
172	0.0780388755
173	0.07734220456
174	0.0763659901
175	0.0757523189
176	0.0752623105
177	0.07485748977
178	0.07426673362
179	0.0737583532
180	0.07328049063
181	0.07253803886
182	0.07187594919
183	0.07105742049
184	0.07050478414
185	0.06995079592
186	0.06951357521
187	0.06898839027
188	0.06855500021
189	0.06804711017
190	0.06739050557
191	0.06689180043
192	0.06617716487
193	0.06559451406
194	0.06486047342
195	0.06434730427
196	0.06382822071
197	0.06336128997
198	0.06285730791
199	0.06232935946
200	0.06148040126
201	0.06117408543
202	0.06075361759
203	0.06036820648
204	0.05989497088
205	0.05961785465
206	0.05907588544
207	0.05853589746
208	0.05803161837
209	0.05761719152
210	0.05714079353
211	0.05682131407
212	0.05657216488
213	0.0561446699
214	0.05567109178
215	0.05525899822
216	0.05489432529
217	0.05438137351
218	0.05409534087
219	0.053607218
220	0.05324751803
221	0.05286174805
222	0.05250788383
223	0.05209110818
224	0.05176748798
225	0.05136173008
226	0.05097037762
227	0.05049597785
228	0.0500287425
229	0.04943528173
230	0.04901443441
231	0.04862617518
232	0.04827659511
233	0.04792467682
234	0.04769149844
235	0.04733146184
236	0.04704999278
237	0.04679875901
238	0.04646143553
239	0.04609455218
240	0.04577536316
241	0.04543301685
242	0.04497643951
243	0.04458548804
244	0.0442001975
245	0.04398471405
246	0.0436131896
247	0.04340336092
248	0.04311302695
249	0.0428271297
250	0.04255338947
251	0.04226017533
252	0.0419923318
253	0.04174244661
254	0.04138548254
255	0.04103357015
256	0.04078345425
257	0.04044295155
258	0.04008815335
259	0.03995772232
260	0.03978699786
261	0.03935397574
262	0.03904179715
263	0.03875500516
264	0.03851141056
265	0.0383654347
266	0.03804928226
267	0.03763946172
268	0.03728716985
269	0.03693331486
270	0.03656720766
271	0.03636890248
272	0.03614166076
273	0.03594065415
274	0.03571643853
275	0.03556718133
